DESCRIPTION,TYPE,SOURCE,Power,Rack Mount?,Rack Height / Form factor (u),SERIAL NUMBER,PART #,GFE ASSET ID #,AREA,RM,PROJECT,EXCESS,HDD Barcode Number,"CONDITION CODES",In FTI posession?,In DD1149 from Mantech?,Recommend return to Gov't,New location,Comments,Model,QTY,Location Found,Comments,Confirmed?
Visual Studio 2008 with MSDN Premium Subscription,Software,Mike Ihrig's garage,,N/A,,,,,Suite 3310,,MFOM/CBM+,A,,4,Yes,,"Yes, obsolete",FTI CHE Office,total of 10 copies,,,,,
Visual Studio 2008 with MSDN Premium Subscription,Software,Mike Ihrig's garage,,N/A,,,,,Suite 3310,,MFOM/CBM+,A,,4,Yes,,"Yes, obsolete",FTI CHE Office,total of 10 copies,,,,,
Quantum Data Cartridge,Backup Cart,Mike Ihrig's garage,,N/A,,,,,,,,,,,Yes,,"Yes, obsolete",FTI CHE Office,,,,,,
Lectora Enterprise Edition (4),Software,Mike Ihrig's garage,,N/A,,,,,Suite 3310,,MFOM/CBM+,A,,4,Yes,,Yes,FTI CHE Office,,,,,,
HP DL380P GEN 8,Server - Blade,FECD Project Dayton,750w 110v,Yes,2,USE241J7YC,653200-B21,GFE-8175,,,,,,,,,,,,,,,,
HP DL380P GEN 8,Server - Blade,FECD Project Dayton,750w 110v,Yes,2,USE241J7YB,653200-B21,GFE-8174,,,,,,,,,,,,,,,,
HP DL380P GEN 8,Server - Blade,FECD Project Dayton,750w 110v,Yes,2,USE241J7YA,653200-B21,GFE-8173,,,,,,,,,,,,,,,,
HP DL380P GEN 7,Server - Blade,FECD Project Dayton,750w 110v,Yes,2,USE242JL4Y,583914-B21,GFE-8178,,,,,,,,,,,,,,,,
HP P2000 SAN (hard drive array),Array,FECD Project Dayton,,Yes,2,2S6227C024,AP837A,GFE-8172,,,,,,,,,,,,,,,,
HP P2000 SAN (hard drive array),Array,FECD Project Dayton,,Yes,2,256227C024,BK829A,GFE-8200,,,,,,,,,,,,,,,,
HP KVM SWITCH,Switch,FECD Project Dayton,,No,,5CW2370MNO,578714,GFE-8169,,,,,,,,,,,,,,,,
HP PROCURVE SWITCH (HP 2910-24G al Switch),Switch,FECD Project Dayton,"82w, 100-127v or 200-240v",Yes,1,SG230IPH38,J9145A,GFE-8168,,,,,,,,,,,,,,,,
HP PROCURVE SWITCH (HP 2910-24G al Switch),Switch,FECD Project Dayton,"82w, 100-127v or 200-240v",Yes,1,SG231IPH18,J9145A,GFE-8167,,,,,,,,,,,,,,,,
HP PROCURVE SWITCH (HP 2910-24G al Switch),Switch,FECD Project Dayton,"82w, 100-127v or 200-240v",Yes,1,SG232IP05C,J9145A,GFE-8166,,,,,,,,,,,,,,,,
HP PROCURVE SWITCH (HP 2910-24G al Switch),Switch,FECD Project Dayton,"82w, 100-127v or 200-240v",Yes,1,SG231PH9L,J9145A,GFE-8156,,,,,,,,,,,,,,,,
DELL LATTITUDE E6430 ATG LAPTOP,Laptop,FECD Project Dayton,,N/A,,55YXKV1,XNWW2,GFE-8164,,,,,,,,,,,,,1,Cabinet,,
HP ASSEMBLY RACK 542,Rack,FECD Project Dayton,,N/A,,2UJ235001F,660502,GFE-8165,,,,,,,,,,,,,,,,
HP UPS (R1500 G2 or G3?),UPS,FECD Project Dayton,"230v, 1500w",Yes,1,3C82081663,AF465A,GFE-8171,,,,,,,,,,,,,,,,
HP UPS (R1500 G2 or G3?),UPS,FECD Project Dayton,"230v, 1500w",Yes,1,3C82081674,AF465A,GFE-8170,,,,,,,,,,,,,,,,
